[2022-09-21 22:20:01.855251] on (Linux-5.15.0-48-generic-x86_64-with-glibc2.29, x86_64) using (Train: 12500, Test: 2500)
--- [2022-09-21 22:22:35.045614] Running Parameter-Tests [SKLEARN-NN] ---
	Best parameters set found on following development set:
0.360 (+/-0.005)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 64, 'hidden_layer_sizes': (512,), 'learning_rate': 'adaptive', 'max_iter': 10, 'solver': 'adam'}
0.413 (+/-0.006)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 64, 'hidden_layer_sizes': (512,), 'learning_rate': 'adaptive', 'max_iter': 20, 'solver': 'sgd'}
0.368 (+/-0.015)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 64, 'hidden_layer_sizes': (512,), 'learning_rate': 'adaptive', 'max_iter': 20, 'solver': 'adam'}
0.367 (+/-0.007)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 128, 'hidden_layer_sizes': (64,), 'learning_rate': 'constant', 'max_iter': 10, 'solver': 'sgd'}
0.358 (+/-0.007)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 128, 'hidden_layer_sizes': (64,), 'learning_rate': 'constant', 'max_iter': 10, 'solver': 'adam'}
0.392 (+/-0.006)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 128, 'hidden_layer_sizes': (64,), 'learning_rate': 'constant', 'max_iter': 20, 'solver': 'sgd'}
0.381 (+/-0.005)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 128, 'hidden_layer_sizes': (64,), 'learning_rate': 'constant', 'max_iter': 20, 'solver': 'adam'}
0.368 (+/-0.004)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 128, 'hidden_layer_sizes': (64,), 'learning_rate': 'adaptive', 'max_iter': 10, 'solver': 'sgd'}
0.362 (+/-0.012)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 128, 'hidden_layer_sizes': (64,), 'learning_rate': 'adaptive', 'max_iter': 10, 'solver': 'adam'}
0.385 (+/-0.008)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 128, 'hidden_layer_sizes': (64,), 'learning_rate': 'adaptive', 'max_iter': 20, 'solver': 'sgd'}
0.388 (+/-0.006)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 128, 'hidden_layer_sizes': (64,), 'learning_rate': 'adaptive', 'max_iter': 20, 'solver': 'adam'}
0.369 (+/-0.004)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 128, 'hidden_layer_sizes': (128,), 'learning_rate': 'constant', 'max_iter': 10, 'solver': 'sgd'}
0.373 (+/-0.011)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 128, 'hidden_layer_sizes': (128,), 'learning_rate': 'constant', 'max_iter': 10, 'solver': 'adam'}
0.391 (+/-0.008)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 128, 'hidden_layer_sizes': (128,), 'learning_rate': 'constant', 'max_iter': 20, 'solver': 'sgd'}
0.391 (+/-0.011)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 128, 'hidden_layer_sizes': (128,), 'learning_rate': 'constant', 'max_iter': 20, 'solver': 'adam'}
0.368 (+/-0.003)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 128, 'hidden_layer_sizes': (128,), 'learning_rate': 'adaptive', 'max_iter': 10, 'solver': 'sgd'}
0.366 (+/-0.010)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 128, 'hidden_layer_sizes': (128,), 'learning_rate': 'adaptive', 'max_iter': 10, 'solver': 'adam'}
0.398 (+/-0.007)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 128, 'hidden_layer_sizes': (128,), 'learning_rate': 'adaptive', 'max_iter': 20, 'solver': 'sgd'}
0.383 (+/-0.003)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 128, 'hidden_layer_sizes': (128,), 'learning_rate': 'adaptive', 'max_iter': 20, 'solver': 'adam'}
0.379 (+/-0.008)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 128, 'hidden_layer_sizes': (256,), 'learning_rate': 'constant', 'max_iter': 10, 'solver': 'sgd'}
0.377 (+/-0.018)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 128, 'hidden_layer_sizes': (256,), 'learning_rate': 'constant', 'max_iter': 10, 'solver': 'adam'}
0.394 (+/-0.006)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 128, 'hidden_layer_sizes': (256,), 'learning_rate': 'constant', 'max_iter': 20, 'solver': 'sgd'}
0.393 (+/-0.010)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 128, 'hidden_layer_sizes': (256,), 'learning_rate': 'constant', 'max_iter': 20, 'solver': 'adam'}
0.374 (+/-0.009)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 128, 'hidden_layer_sizes': (256,), 'learning_rate': 'adaptive', 'max_iter': 10, 'solver': 'sgd'}
0.369 (+/-0.011)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 128, 'hidden_layer_sizes': (256,), 'learning_rate': 'adaptive', 'max_iter': 10, 'solver': 'adam'}
0.395 (+/-0.006)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 128, 'hidden_layer_sizes': (256,), 'learning_rate': 'adaptive', 'max_iter': 20, 'solver': 'sgd'}
0.403 (+/-0.008)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 128, 'hidden_layer_sizes': (256,), 'learning_rate': 'adaptive', 'max_iter': 20, 'solver': 'adam'}
0.377 (+/-0.008)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 128, 'hidden_layer_sizes': (512,), 'learning_rate': 'constant', 'max_iter': 10, 'solver': 'sgd'}
0.381 (+/-0.005)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 128, 'hidden_layer_sizes': (512,), 'learning_rate': 'constant', 'max_iter': 10, 'solver': 'adam'}
0.394 (+/-0.008)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 128, 'hidden_layer_sizes': (512,), 'learning_rate': 'constant', 'max_iter': 20, 'solver': 'sgd'}
0.392 (+/-0.013)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 128, 'hidden_layer_sizes': (512,), 'learning_rate': 'constant', 'max_iter': 20, 'solver': 'adam'}
0.383 (+/-0.007)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 128, 'hidden_layer_sizes': (512,), 'learning_rate': 'adaptive', 'max_iter': 10, 'solver': 'sgd'}
